hotel_id,hotel_name,location,orbit_type,star_rating,total_rooms,price_per_night_credits,is_operational
HTL-001,Lunar Grand Hyatt,Luna Surface,Surface Base,5,180,9500.0,True
HTL-002,Olympus Mons Resort,Mars Orbit,Low Orbit,4,120,7250.5,True
HTL-003,Europa Deep Station,Europa,Surface Base,3,45,5800.75,True
HTL-004,Titan Sky Lounge,Titan,Low Orbit,4,75,8100.0,True
HTL-005,Orbital Zenith Hotel,Low Earth Orbit,Geostationary,5,200,9999.99,True
HTL-006,Lagrange Point Suites,Low Earth Orbit,Lagrange Point,3,60,3450.25,False
HTL-007,Crimson Dunes Retreat,Mars Orbit,Geostationary,2,35,2100.0,True
HTL-008,Selene Crater Inn,Luna Surface,Surface Base,3,90,4750.5,True
HTL-009,Void Wanderer Station,Low Earth Orbit,Low Orbit,1,20,599.99,False
HTL-010,Cassini Ring View Lodge,Titan,Lagrange Point,5,155,9250.0,True
